"Notes"	"Census Region"	"Census Region Code"	"ICD-10 113 Cause List"	"ICD-10 113 Cause List Code"	"Year"	"Year Code"	"Ten-Year Age Groups"	"Ten-Year Age Groups Code"	"Gender"	"Gender Code"	Deaths	Population	Crude Rate
	"Census Region 1: Northeast"	"CENS-R1"	"Certain other intestinal infections (A04,A07-A09)"	"GR113-003"	"2015"	"2015"	"< 1 year"	"1"	"Female"	"F"	14	310761	Unreliable
	"Census Region 1: Northeast"	"CENS-R1"	"Certain other intestinal infections (A04,A07-A09)"	"GR113-003"	"2015"	"2015"	"< 1 year"	"1"	"Male"	"M"	20	325571	6.1
	"Census Region 1: Northeast"	"CENS-R1"	"Certain other intestinal infections (A04,A07-A09)"	"GR113-003"	"2015"	"2015"	"45-54 years"	"45-54"	"Female"	"F"	18	4099174	Unreliable
	"Census Region 1: Northeast"	"CENS-R1"	"Certain other intestinal infections (A04,A07-A09)"	"GR113-003"	"2015"	"2015"	"45-54 years"	"45-54"	"Male"	"M"	36	3913887	0.9
	"Census Region 1: Northeast"	"CENS-R1"	"Certain other intestinal infections (A04,A07-A09)"	"GR113-003"	"2015"	"2015"	"55-64 years"	"55-64"	"Female"	"F"	82	3923478	2.1
	"Census Region 1: Northeast"	"CENS-R1"	"Certain other intestinal infections (A04,A07-A09)"	"GR113-003"	"2015"	"2015"	"55-64 years"	"55-64"	"Male"	"M"	73	3646026	2.0
	"Census Region 1: Northeast"	"CENS-R1"	"Certain other intestinal infections (A04,A07-A09)"	"GR113-003"	"2015"	"2015"	"65-74 years"	"65-74"	"Female"	"F"	166	2660995	6.2
	"Census Region 1: Northeast"	"CENS-R1"	"Certain other intestinal infections (A04,A07-A09)"	"GR113-003"	"2015"	"2015"	"65-74 years"	"65-74"	"Male"	"M"	128	2287000	5.6
	"Census Region 1: Northeast"	"CENS-R1"	"Certain other intestinal infections (A04,A07-A09)"	"GR113-003"	"2015"	"2015"	"75-84 years"	"75-84"	"Female"	"F"	312	1499351	20.8
	"Census Region 1: Northeast"	"CENS-R1"	"Certain other intestinal infections (A04,A07-A09)"	"GR113-003"	"2015"	"2015"	"75-84 years"	"75-84"	"Male"	"M"	238	1085011	21.9
	"Census Region 1: Northeast"	"CENS-R1"	"Certain other intestinal infections (A04,A07-A09)"	"GR113-003"	"2015"	"2015"	"85+ years"	"85+"	"Female"	"F"	573	880345	65.1
	"Census Region 1: Northeast"	"CENS-R1"	"Certain other intestinal infections (A04,A07-A09)"	"GR113-003"	"2015"	"2015"	"85+ years"	"85+"	"Male"	"M"	291	436402	66.7
	"Census Region 1: Northeast"	"CENS-R1"	"Certain other intestinal infections (A04,A07-A09)"	"GR113-003"	"2016"	"2016"	"< 1 year"	"1"	"Female"	"F"	16	305759	Unreliable
	"Census Region 1: Northeast"	"CENS-R1"	"Certain other intestinal infections (A04,A07-A09)"	"GR113-003"	"2016"	"2016"	"< 1 year"	"1"	"Male"	"M"	21	320881	6.5
