"Notes"	"Census Region"	"Census Region Code"	"ICD-10 113 Cause List"	"ICD-10 113 Cause List Code"	"Year"	"Year Code"	"Ten-Year Age Groups"	"Ten-Year Age Groups Code"	"Gender"	"Gender Code"	Deaths	Population	Crude Rate
	"Census Region 1: Northeast"	"CENS-R1"	"Certain other intestinal infections (A04,A07-A09)"	"GR113-003"	"2001"	"2001"	"55-64 years"	"55-64"	"Female"	"F"	10	2597428	Unreliable
	"Census Region 1: Northeast"	"CENS-R1"	"Certain other intestinal infections (A04,A07-A09)"	"GR113-003"	"2001"	"2001"	"65-74 years"	"65-74"	"Female"	"F"	31	2061685	1.5
	"Census Region 1: Northeast"	"CENS-R1"	"Certain other intestinal infections (A04,A07-A09)"	"GR113-003"	"2001"	"2001"	"65-74 years"	"65-74"	"Male"	"M"	30	1657235	1.8
	"Census Region 1: Northeast"	"CENS-R1"	"Certain other intestinal infections (A04,A07-A09)"	"GR113-003"	"2001"	"2001"	"75-84 years"	"75-84"	"Female"	"F"	92	1660391	5.5
	"Census Region 1: Northeast"	"CENS-R1"	"Certain other intestinal infections (A04,A07-A09)"	"GR113-003"	"2001"	"2001"	"75-84 years"	"75-84"	"Male"	"M"	64	1043058	6.1
	"Census Region 1: Northeast"	"CENS-R1"	"Certain other intestinal infections (A04,A07-A09)"	"GR113-003"	"2001"	"2001"	"85+ years"	"85+"	"Female"	"F"	93	688638	13.5
	"Census Region 1: Northeast"	"CENS-R1"	"Certain other intestinal infections (A04,A07-A09)"	"GR113-003"	"2001"	"2001"	"85+ years"	"85+"	"Male"	"M"	42	267892	15.7
	"Census Region 1: Northeast"	"CENS-R1"	"Certain other intestinal infections (A04,A07-A09)"	"GR113-003"	"2002"	"2002"	"55-64 years"	"55-64"	"Female"	"F"	18	2745543	Unreliable
	"Census Region 1: Northeast"	"CENS-R1"	"Certain other intestinal infections (A04,A07-A09)"	"GR113-003"	"2002"	"2002"	"55-64 years"	"55-64"	"Male"	"M"	12	2484162	Unreliable
	"Census Region 1: Northeast"	"CENS-R1"	"Certain other intestinal infections (A04,A07-A09)"	"GR113-003"	"2002"	"2002"	"65-74 years"	"65-74"	"Female"	"F"	37	2035787	1.8
	"Census Region 1: Northeast"	"CENS-R1"	"Certain other intestinal infections (A04,A07-A09)"	"GR113-003"	"2002"	"2002"	"65-74 years"	"65-74"	"Male"	"M"	43	1644652	2.6
	"Census Region 1: Northeast"	"CENS-R1"	"Certain other intestinal infections (A04,A07-A09)"	"GR113-003"	"2002"	"2002"	"75-84 years"	"75-84"	"Female"	"F"	111	1669900	6.6
	"Census Region 1: Northeast"	"CENS-R1"	"Certain other intestinal infections (A04,A07-A09)"	"GR113-003"	"2002"	"2002"	"75-84 years"	"75-84"	"Male"	"M"	70	1060798	6.6
	"Census Region 1: Northeast"	"CENS-R1"	"Certain other intestinal infections (A04,A07-A09)"	"GR113-003"	"2002"	"2002"	"85+ years"	"85+"	"Female"	"F"	164	696504	23.5
	"Census Region 1: Northeast"	"CENS-R1"	"Certain other intestinal infections (A04,A07-A09)"	"GR113-003"	"2002"	"2002"	"85+ years"	"85+"	"Male"	"M"	71	275896	25.7
	"Census Region 1: Northeast"	"CENS-R1"	"#Tuberculosis (A16-A19)"	"GR113-004"	"2001"	"2001"	"55-64 years"	"55-64"	"Male"	"M"	17	2341598	Unreliable
	"Census Region 1: Northeast"	"CENS-R1"	"#Tuberculosis (A16-A19)"	"GR113-004"	"2001"	"2001"	"65-74 years"	"65-74"	"Female"	"F"	13	2061685	Unreliable
	"Census Region 1: Northeast"	"CENS-R1"	"#Tuberculosis (A16-A19)"	"GR113-004"	"2001"	"2001"	"65-74 years"	"65-74"	"Male"	"M"	13	1657235	Unreliable
	"Census Region 1: Northeast"	"CENS-R1"	"#Tuberculosis (A16-A19)"	"GR113-004"	"2001"	"2001"	"75-84 years"	"75-84"	"Female"	"F"	17	1660391	Unreliable
	"Census Region 1: Northeast"	"CENS-R1"	"#Tuberculosis (A16-A19)"	"GR113-004"	"2001"	"2001"	"75-84 years"	"75-84"	"Male"	"M"	10	1043058	Unreliable
	"Census Region 1: Northeast"	"CENS-R1"	"#Tuberculosis (A16-A19)"	"GR113-004"	"2001"	"2001"	"85+ years"	"85+"	"Male"	"M"	10	267892	Unreliable
	"Census Region 1: Northeast"	"CENS-R1"	"#Tuberculosis (A16-A19)"	"GR113-004"	"2002"	"2002"	"45-54 years"	"45-54"	"Male"	"M"	10	3764464	Unreliable
	"Census Region 1: Northeast"	"CENS-R1"	"#Tuberculosis (A16-A19)"	"GR113-004"	"2002"	"2002"	"65-74 years"	"65-74"	"Female"	"F"	10	2035787	Unreliable
	"Census Region 1: Northeast"	"CENS-R1"	"#Tuberculosis (A16-A19)"	"GR113-004"	"2002"	"2002"	"65-74 years"	"65-74"	"Male"	"M"	14	1644652	Unreliable
	"Census Region 1: Northeast"	"CENS-R1"	"#Tuberculosis (A16-A19)"	"GR113-004"	"2002"	"2002"	"75-84 years"	"75-84"	"Female"	"F"	18	1669900	Unreliable
	"Census Region 1: Northeast"	"CENS-R1"	"#Tuberculosis (A16-A19)"	"GR113-004"	"2002"	"2002"	"75-84 years"	"75-84"	"Male"	"M"	27	1060798	2.5
	"Census Region 1: Northeast"	"CENS-R1"	"#Tuberculosis (A16-A19)"	"GR113-004"	"2002"	"2002"	"85+ years"	"85+"	"Female"	"F"	10	696504	Unreliable
	"Census Region 1: Northeast"	"CENS-R1"	"Respiratory tuberculosis (A16)"	"GR113-005"	"2001"	"2001"	"55-64 years"	"55-64"	"Male"	"M"	17	2341598	Unreliable
	"Census Region 1: Northeast"	"CENS-R1"	"Respiratory tuberculosis (A16)"	"GR113-005"	"2001"	"2001"	"75-84 years"	"75-84"	"Female"	"F"	12	1660391	Unreliable
	"Census Region 1: Northeast"	"CENS-R1"	"Respiratory tuberculosis (A16)"	"GR113-005"	"2001"	"2001"	"75-84 years"	"75-84"	"Male"	"M"	10	1043058	Unreliable
	"Census Region 1: Northeast"	"CENS-R1"	"Respiratory tuberculosis (A16)"	"GR113-005"	"2002"	"2002"	"65-74 years"	"65-74"	"Male"	"M"	11	1644652	Unreliable
	"Census Region 1: Northeast"	"CENS-R1"	"Respiratory tuberculosis (A16)"	"GR113-005"	"2002"	"2002"	"75-84 years"	"75-84"	"Female"	"F"	15	1669900	Unreliable
	"Census Region 1: Northeast"	"CENS-R1"	"Respiratory tuberculosis (A16)"	"GR113-005"	"2002"	"2002"	"75-84 years"	"75-84"	"Male"	"M"	19	1060798	Unreliable
	"Census Region 1: Northeast"	"CENS-R1"	"#Septicemia (A40-A41)"	"GR113-010"	"2001"	"2001"	"< 1 year"	"1"	"Female"	"F"	30	332439	9.0
	"Census Region 1: Northeast"	"CENS-R1"	"#Septicemia (A40-A41)"	"GR113-010"	"2001"	"2001"	"< 1 year"	"1"	"Male"	"M"	31	347985	8.9
