"Notes"	"Census Region"	"Census Region Code"	"ICD-10 113 Cause List"	"ICD-10 113 Cause List Code"	"Year"	"Year Code"	"Ten-Year Age Groups"	"Ten-Year Age Groups Code"	"Gender"	"Gender Code"	Deaths	Population	Crude Rate
	"Census Region 1: Northeast"	"CENS-R1"	"Certain other intestinal infections (A04,A07-A09)"	"GR113-003"	"2009"	"2009"	"< 1 year"	"1"	"Female"	"F"	21	313208	6.7
	"Census Region 1: Northeast"	"CENS-R1"	"Certain other intestinal infections (A04,A07-A09)"	"GR113-003"	"2009"	"2009"	"< 1 year"	"1"	"Male"	"M"	28	328905	8.5
	"Census Region 1: Northeast"	"CENS-R1"	"Certain other intestinal infections (A04,A07-A09)"	"GR113-003"	"2009"	"2009"	"35-44 years"	"35-44"	"Female"	"F"	12	3840698	Unreliable
	"Census Region 1: Northeast"	"CENS-R1"	"Certain other intestinal infections (A04,A07-A09)"	"GR113-003"	"2009"	"2009"	"45-54 years"	"45-54"	"Female"	"F"	31	4337383	0.7
	"Census Region 1: Northeast"	"CENS-R1"	"Certain other intestinal infections (A04,A07-A09)"	"GR113-003"	"2009"	"2009"	"45-54 years"	"45-54"	"Male"	"M"	15	4136525	Unreliable
	"Census Region 1: Northeast"	"CENS-R1"	"Certain other intestinal infections (A04,A07-A09)"	"GR113-003"	"2009"	"2009"	"55-64 years"	"55-64"	"Female"	"F"	63	3446956	1.8
	"Census Region 1: Northeast"	"CENS-R1"	"Certain other intestinal infections (A04,A07-A09)"	"GR113-003"	"2009"	"2009"	"55-64 years"	"55-64"	"Male"	"M"	53	3172022	1.7
	"Census Region 1: Northeast"	"CENS-R1"	"Certain other intestinal infections (A04,A07-A09)"	"GR113-003"	"2009"	"2009"	"65-74 years"	"65-74"	"Female"	"F"	148	2137817	6.9
	"Census Region 1: Northeast"	"CENS-R1"	"Certain other intestinal infections (A04,A07-A09)"	"GR113-003"	"2009"	"2009"	"65-74 years"	"65-74"	"Male"	"M"	135	1788614	7.5
	"Census Region 1: Northeast"	"CENS-R1"	"Certain other intestinal infections (A04,A07-A09)"	"GR113-003"	"2009"	"2009"	"75-84 years"	"75-84"	"Female"	"F"	505	1561116	32.3
	"Census Region 1: Northeast"	"CENS-R1"	"Certain other intestinal infections (A04,A07-A09)"	"GR113-003"	"2009"	"2009"	"75-84 years"	"75-84"	"Male"	"M"	325	1064581	30.5
	"Census Region 1: Northeast"	"CENS-R1"	"Certain other intestinal infections (A04,A07-A09)"	"GR113-003"	"2009"	"2009"	"85+ years"	"85+"	"Female"	"F"	743	810265	91.7
	"Census Region 1: Northeast"	"CENS-R1"	"Certain other intestinal infections (A04,A07-A09)"	"GR113-003"	"2009"	"2009"	"85+ years"	"85+"	"Male"	"M"	372	365611	101.7
	"Census Region 1: Northeast"	"CENS-R1"	"Certain other intestinal infections (A04,A07-A09)"	"GR113-003"	"2010"	"2010"	"< 1 year"	"1"	"Female"	"F"	23	308272	7.5
	"Census Region 1: Northeast"	"CENS-R1"	"Certain other intestinal infections (A04,A07-A09)"	"GR113-003"	"2010"	"2010"	"< 1 year"	"1"	"Male"	"M"	24	322683	7.4
	"Census Region 1: Northeast"	"CENS-R1"	"Certain other intestinal infections (A04,A07-A09)"	"GR113-003"	"2010"	"2010"	"45-54 years"	"45-54"	"Female"	"F"	28	4348826	0.6
	"Census Region 1: Northeast"	"CENS-R1"	"Certain other intestinal infections (A04,A07-A09)"	"GR113-003"	"2010"	"2010"	"45-54 years"	"45-54"	"Male"	"M"	25	4146986	0.6
	"Census Region 1: Northeast"	"CENS-R1"	"Certain other intestinal infections (A04,A07-A09)"	"GR113-003"	"2010"	"2010"	"55-64 years"	"55-64"	"Female"	"F"	59	3542140	1.7
	"Census Region 1: Northeast"	"CENS-R1"	"Certain other intestinal infections (A04,A07-A09)"	"GR113-003"	"2010"	"2010"	"55-64 years"	"55-64"	"Male"	"M"	66	3267764	2.0
	"Census Region 1: Northeast"	"CENS-R1"	"Certain other intestinal infections (A04,A07-A09)"	"GR113-003"	"2010"	"2010"	"65-74 years"	"65-74"	"Female"	"F"	183	2172306	8.4
	"Census Region 1: Northeast"	"CENS-R1"	"Certain other intestinal infections (A04,A07-A09)"	"GR113-003"	"2010"	"2010"	"65-74 years"	"65-74"	"Male"	"M"	157	1823502	8.6
	"Census Region 1: Northeast"	"CENS-R1"	"Certain other intestinal infections (A04,A07-A09)"	"GR113-003"	"2010"	"2010"	"75-84 years"	"75-84"	"Female"	"F"	468	1546270	30.3
	"Census Region 1: Northeast"	"CENS-R1"	"Certain other intestinal infections (A04,A07-A09)"	"GR113-003"	"2010"	"2010"	"75-84 years"	"75-84"	"Male"	"M"	355	1063053	33.4
	"Census Region 1: Northeast"	"CENS-R1"	"Certain other intestinal infections (A04,A07-A09)"	"GR113-003"	"2010"	"2010"	"85+ years"	"85+"	"Female"	"F"	733	823724	89.0
	"Census Region 1: Northeast"	"CENS-R1"	"Certain other intestinal infections (A04,A07-A09)"	"GR113-003"	"2010"	"2010"	"85+ years"	"85+"	"Male"	"M"	371	375978	98.7
	"Census Region 1: Northeast"	"CENS-R1"	"#Tuberculosis (A16-A19)"	"GR113-004"	"2009"	"2009"	"45-54 years"	"45-54"	"Male"	"M"	10	4136525	Unreliable
	"Census Region 1: Northeast"	"CENS-R1"	"#Tuberculosis (A16-A19)"	"GR113-004"	"2009"	"2009"	"75-84 years"	"75-84"	"Female"	"F"	12	1561116	Unreliable
	"Census Region 1: Northeast"	"CENS-R1"	"#Tuberculosis (A16-A19)"	"GR113-004"	"2009"	"2009"	"75-84 years"	"75-84"	"Male"	"M"	18	1064581	Unreliable
	"Census Region 1: Northeast"	"CENS-R1"	"#Tuberculosis (A16-A19)"	"GR113-004"	"2009"	"2009"	"85+ years"	"85+"	"Female"	"F"	17	810265	Unreliable
	"Census Region 1: Northeast"	"CENS-R1"	"#Tuberculosis (A16-A19)"	"GR113-004"	"2010"	"2010"	"65-74 years"	"65-74"	"Male"	"M"	12	1823502	Unreliable
	"Census Region 1: Northeast"	"CENS-R1"	"#Tuberculosis (A16-A19)"	"GR113-004"	"2010"	"2010"	"75-84 years"	"75-84"	"Female"	"F"	12	1546270	Unreliable
	"Census Region 1: Northeast"	"CENS-R1"	"#Tuberculosis (A16-A19)"	"GR113-004"	"2010"	"2010"	"75-84 years"	"75-84"	"Male"	"M"	16	1063053	Unreliable
	"Census Region 1: Northeast"	"CENS-R1"	"Respiratory tuberculosis (A16)"	"GR113-005"	"2009"	"2009"	"75-84 years"	"75-84"	"Male"	"M"	12	1064581	Unreliable
	"Census Region 1: Northeast"	"CENS-R1"	"Respiratory tuberculosis (A16)"	"GR113-005"	"2009"	"2009"	"85+ years"	"85+"	"Female"	"F"	13	810265	Unreliable
	"Census Region 1: Northeast"	"CENS-R1"	"Respiratory tuberculosis (A16)"	"GR113-005"	"2010"	"2010"	"65-74 years"	"65-74"	"Male"	"M"	10	1823502	Unreliable
	"Census Region 1: Northeast"	"CENS-R1"	"Respiratory tuberculosis (A16)"	"GR113-005"	"2010"	"2010"	"75-84 years"	"75-84"	"Male"	"M"	13	1063053	Unreliable
	"Census Region 1: Northeast"	"CENS-R1"	"#Septicemia (A40-A41)"	"GR113-010"	"2009"	"2009"	"< 1 year"	"1"	"Female"	"F"	20	313208	6.4
	"Census Region 1: Northeast"	"CENS-R1"	"#Septicemia (A40-A41)"	"GR113-010"	"2009"	"2009"	"< 1 year"	"1"	"Male"	"M"	11	328905	Unreliable
	"Census Region 1: Northeast"	"CENS-R1"	"#Septicemia (A40-A41)"	"GR113-010"	"2009"	"2009"	"5-14 years"	"5-14"	"Female"	"F"	10	3354449	Unreliable
	"Census Region 1: Northeast"	"CENS-R1"	"#Septicemia (A40-A41)"	"GR113-010"	"2009"	"2009"	"15-24 years"	"15-24"	"Male"	"M"	16	3923106	Unreliable
