"Notes"	"Census Region"	"Census Region Code"	"ICD-10 113 Cause List"	"ICD-10 113 Cause List Code"	"Year"	"Year Code"	"Ten-Year Age Groups"	"Ten-Year Age Groups Code"	"Gender"	"Gender Code"	Deaths	Population	Crude Rate
	"Census Region 1: Northeast"	"CENS-R1"	"Certain other intestinal infections (A04,A07-A09)"	"GR113-003"	"1999"	"1999"	"55-64 years"	"55-64"	"Male"	"M"	10	2240726	Unreliable
	"Census Region 1: Northeast"	"CENS-R1"	"Certain other intestinal infections (A04,A07-A09)"	"GR113-003"	"1999"	"1999"	"65-74 years"	"65-74"	"Female"	"F"	24	2112718	1.1
	"Census Region 1: Northeast"	"CENS-R1"	"Certain other intestinal infections (A04,A07-A09)"	"GR113-003"	"1999"	"1999"	"65-74 years"	"65-74"	"Male"	"M"	20	1677845	1.2
	"Census Region 1: Northeast"	"CENS-R1"	"Certain other intestinal infections (A04,A07-A09)"	"GR113-003"	"1999"	"1999"	"75-84 years"	"75-84"	"Female"	"F"	71	1627643	4.4
	"Census Region 1: Northeast"	"CENS-R1"	"Certain other intestinal infections (A04,A07-A09)"	"GR113-003"	"1999"	"1999"	"75-84 years"	"75-84"	"Male"	"M"	51	1008566	5.1
	"Census Region 1: Northeast"	"CENS-R1"	"Certain other intestinal infections (A04,A07-A09)"	"GR113-003"	"1999"	"1999"	"85+ years"	"85+"	"Female"	"F"	86	665957	12.9
	"Census Region 1: Northeast"	"CENS-R1"	"Certain other intestinal infections (A04,A07-A09)"	"GR113-003"	"1999"	"1999"	"85+ years"	"85+"	"Male"	"M"	34	252186	13.5
	"Census Region 1: Northeast"	"CENS-R1"	"Certain other intestinal infections (A04,A07-A09)"	"GR113-003"	"2000"	"2000"	"65-74 years"	"65-74"	"Female"	"F"	29	2096915	1.4
	"Census Region 1: Northeast"	"CENS-R1"	"Certain other intestinal infections (A04,A07-A09)"	"GR113-003"	"2000"	"2000"	"65-74 years"	"65-74"	"Male"	"M"	27	1671357	1.6
	"Census Region 1: Northeast"	"CENS-R1"	"Certain other intestinal infections (A04,A07-A09)"	"GR113-003"	"2000"	"2000"	"75-84 years"	"75-84"	"Female"	"F"	63	1644519	3.8
	"Census Region 1: Northeast"	"CENS-R1"	"Certain other intestinal infections (A04,A07-A09)"	"GR113-003"	"2000"	"2000"	"75-84 years"	"75-84"	"Male"	"M"	46	1021032	4.5
	"Census Region 1: Northeast"	"CENS-R1"	"Certain other intestinal infections (A04,A07-A09)"	"GR113-003"	"2000"	"2000"	"85+ years"	"85+"	"Female"	"F"	84	678461	12.4
	"Census Region 1: Northeast"	"CENS-R1"	"Certain other intestinal infections (A04,A07-A09)"	"GR113-003"	"2000"	"2000"	"85+ years"	"85+"	"Male"	"M"	41	259998	15.8
	"Census Region 1: Northeast"	"CENS-R1"	"#Tuberculosis (A16-A19)"	"GR113-004"	"1999"	"1999"	"45-54 years"	"45-54"	"Male"	"M"	12	3494484	Unreliable
	"Census Region 1: Northeast"	"CENS-R1"	"#Tuberculosis (A16-A19)"	"GR113-004"	"1999"	"1999"	"65-74 years"	"65-74"	"Male"	"M"	20	1677845	1.2
	"Census Region 1: Northeast"	"CENS-R1"	"#Tuberculosis (A16-A19)"	"GR113-004"	"1999"	"1999"	"75-84 years"	"75-84"	"Female"	"F"	22	1627643	1.4
	"Census Region 1: Northeast"	"CENS-R1"	"#Tuberculosis (A16-A19)"	"GR113-004"	"1999"	"1999"	"75-84 years"	"75-84"	"Male"	"M"	24	1008566	2.4
	"Census Region 1: Northeast"	"CENS-R1"	"#Tuberculosis (A16-A19)"	"GR113-004"	"1999"	"1999"	"85+ years"	"85+"	"Female"	"F"	15	665957	Unreliable
	"Census Region 1: Northeast"	"CENS-R1"	"#Tuberculosis (A16-A19)"	"GR113-004"	"1999"	"1999"	"85+ years"	"85+"	"Male"	"M"	15	252186	Unreliable
	"Census Region 1: Northeast"	"CENS-R1"	"#Tuberculosis (A16-A19)"	"GR113-004"	"2000"	"2000"	"45-54 years"	"45-54"	"Male"	"M"	10	3588491	Unreliable
	"Census Region 1: Northeast"	"CENS-R1"	"#Tuberculosis (A16-A19)"	"GR113-004"	"2000"	"2000"	"65-74 years"	"65-74"	"Male"	"M"	15	1671357	Unreliable
	"Census Region 1: Northeast"	"CENS-R1"	"#Tuberculosis (A16-A19)"	"GR113-004"	"2000"	"2000"	"75-84 years"	"75-84"	"Female"	"F"	16	1644519	Unreliable
	"Census Region 1: Northeast"	"CENS-R1"	"#Tuberculosis (A16-A19)"	"GR113-004"	"2000"	"2000"	"75-84 years"	"75-84"	"Male"	"M"	29	1021032	2.8
	"Census Region 1: Northeast"	"CENS-R1"	"#Tuberculosis (A16-A19)"	"GR113-004"	"2000"	"2000"	"85+ years"	"85+"	"Male"	"M"	13	259998	Unreliable
	"Census Region 1: Northeast"	"CENS-R1"	"Respiratory tuberculosis (A16)"	"GR113-005"	"1999"	"1999"	"65-74 years"	"65-74"	"Male"	"M"	13	1677845	Unreliable
	"Census Region 1: Northeast"	"CENS-R1"	"Respiratory tuberculosis (A16)"	"GR113-005"	"1999"	"1999"	"75-84 years"	"75-84"	"Female"	"F"	16	1627643	Unreliable
	"Census Region 1: Northeast"	"CENS-R1"	"Respiratory tuberculosis (A16)"	"GR113-005"	"1999"	"1999"	"75-84 years"	"75-84"	"Male"	"M"	21	1008566	2.1
	"Census Region 1: Northeast"	"CENS-R1"	"Respiratory tuberculosis (A16)"	"GR113-005"	"1999"	"1999"	"85+ years"	"85+"	"Female"	"F"	13	665957	Unreliable
	"Census Region 1: Northeast"	"CENS-R1"	"Respiratory tuberculosis (A16)"	"GR113-005"	"1999"	"1999"	"85+ years"	"85+"	"Male"	"M"	15	252186	Unreliable
	"Census Region 1: Northeast"	"CENS-R1"	"Respiratory tuberculosis (A16)"	"GR113-005"	"2000"	"2000"	"65-74 years"	"65-74"	"Male"	"M"	12	1671357	Unreliable
	"Census Region 1: Northeast"	"CENS-R1"	"Respiratory tuberculosis (A16)"	"GR113-005"	"2000"	"2000"	"75-84 years"	"75-84"	"Female"	"F"	13	1644519	Unreliable
	"Census Region 1: Northeast"	"CENS-R1"	"Respiratory tuberculosis (A16)"	"GR113-005"	"2000"	"2000"	"75-84 years"	"75-84"	"Male"	"M"	26	1021032	2.5
	"Census Region 1: Northeast"	"CENS-R1"	"Respiratory tuberculosis (A16)"	"GR113-005"	"2000"	"2000"	"85+ years"	"85+"	"Male"	"M"	13	259998	Unreliable
	"Census Region 1: Northeast"	"CENS-R1"	"#Septicemia (A40-A41)"	"GR113-010"	"1999"	"1999"	"< 1 year"	"1"	"Female"	"F"	13	322552	Unreliable
	"Census Region 1: Northeast"	"CENS-R1"	"#Septicemia (A40-A41)"	"GR113-010"	"1999"	"1999"	"< 1 year"	"1"	"Male"	"M"	28	337909	8.3
	"Census Region 1: Northeast"	"CENS-R1"	"#Septicemia (A40-A41)"	"GR113-010"	"1999"	"1999"	"1-4 years"	"1-4"	"Male"	"M"	11	1405005	Unreliable
	"Census Region 1: Northeast"	"CENS-R1"	"#Septicemia (A40-A41)"	"GR113-010"	"1999"	"1999"	"15-24 years"	"15-24"	"Female"	"F"	14	3369688	Unreliable
	"Census Region 1: Northeast"	"CENS-R1"	"#Septicemia (A40-A41)"	"GR113-010"	"1999"	"1999"	"15-24 years"	"15-24"	"Male"	"M"	17	3465227	Unreliable
	"Census Region 1: Northeast"	"CENS-R1"	"#Septicemia (A40-A41)"	"GR113-010"	"1999"	"1999"	"25-34 years"	"25-34"	"Female"	"F"	27	3825868	0.7
	"Census Region 1: Northeast"	"CENS-R1"	"#Septicemia (A40-A41)"	"GR113-010"	"1999"	"1999"	"25-34 years"	"25-34"	"Male"	"M"	39	3732733	1.0
	"Census Region 1: Northeast"	"CENS-R1"	"#Septicemia (A40-A41)"	"GR113-010"	"1999"	"1999"	"35-44 years"	"35-44"	"Female"	"F"	77	4471904	1.7
	"Census Region 1: Northeast"	"CENS-R1"	"#Septicemia (A40-A41)"	"GR113-010"	"1999"	"1999"	"35-44 years"	"35-44"	"Male"	"M"	97	4330292	2.2
	"Census Region 1: Northeast"	"CENS-R1"	"#Septicemia (A40-A41)"	"GR113-010"	"1999"	"1999"	"45-54 years"	"45-54"	"Female"	"F"	169	3701596	4.6
	"Census Region 1: Northeast"	"CENS-R1"	"#Septicemia (A40-A41)"	"GR113-010"	"1999"	"1999"	"45-54 years"	"45-54"	"Male"	"M"	202	3494484	5.8
	"Census Region 1: Northeast"	"CENS-R1"	"#Septicemia (A40-A41)"	"GR113-010"	"1999"	"1999"	"55-64 years"	"55-64"	"Female"	"F"	322	2490616	12.9
	"Census Region 1: Northeast"	"CENS-R1"	"#Septicemia (A40-A41)"	"GR113-010"	"1999"	"1999"	"55-64 years"	"55-64"	"Male"	"M"	324	2240726	14.5
	"Census Region 1: Northeast"	"CENS-R1"	"#Septicemia (A40-A41)"	"GR113-010"	"1999"	"1999"	"65-74 years"	"65-74"	"Female"	"F"	722	2112718	34.2
	"Census Region 1: Northeast"	"CENS-R1"	"#Septicemia (A40-A41)"	"GR113-010"	"1999"	"1999"	"65-74 years"	"65-74"	"Male"	"M"	732	1677845	43.6
	"Census Region 1: Northeast"	"CENS-R1"	"#Septicemia (A40-A41)"	"GR113-010"	"1999"	"1999"	"75-84 years"	"75-84"	"Female"	"F"	1497	1627643	92.0
	"Census Region 1: Northeast"	"CENS-R1"	"#Septicemia (A40-A41)"	"GR113-010"	"1999"	"1999"	"75-84 years"	"75-84"	"Male"	"M"	1199	1008566	118.9
	"Census Region 1: Northeast"	"CENS-R1"	"#Septicemia (A40-A41)"	"GR113-010"	"1999"	"1999"	"85+ years"	"85+"	"Female"	"F"	1915	665957	287.6
	"Census Region 1: Northeast"	"CENS-R1"	"#Septicemia (A40-A41)"	"GR113-010"	"1999"	"1999"	"85+ years"	"85+"	"Male"	"M"	777	252186	308.1
	"Census Region 1: Northeast"	"CENS-R1"	"#Septicemia (A40-A41)"	"GR113-010"	"2000"	"2000"	"< 1 year"	"1"	"Female"	"F"	18	323456	Unreliable
	"Census Region 1: Northeast"	"CENS-R1"	"#Septicemia (A40-A41)"	"GR113-010"	"2000"	"2000"	"< 1 year"	"1"	"Male"	"M"	25	338930	7.4
