"Notes"	"Census Region"	"Census Region Code"	"ICD-10 113 Cause List"	"ICD-10 113 Cause List Code"	"Year"	"Year Code"	"Ten-Year Age Groups"	"Ten-Year Age Groups Code"	"Gender"	"Gender Code"	Deaths	Population	Crude Rate
	"Census Region 1: Northeast"	"CENS-R1"	"Certain other intestinal infections (A04,A07-A09)"	"GR113-003"	"2017"	"2017"	"< 1 year"	"1"	"Female"	"F"	12	304386	Unreliable
	"Census Region 1: Northeast"	"CENS-R1"	"Certain other intestinal infections (A04,A07-A09)"	"GR113-003"	"2017"	"2017"	"< 1 year"	"1"	"Male"	"M"	27	319058	8.5
	"Census Region 1: Northeast"	"CENS-R1"	"Certain other intestinal infections (A04,A07-A09)"	"GR113-003"	"2017"	"2017"	"35-44 years"	"35-44"	"Male"	"M"	11	3386488	Unreliable
	"Census Region 1: Northeast"	"CENS-R1"	"Certain other intestinal infections (A04,A07-A09)"	"GR113-003"	"2017"	"2017"	"45-54 years"	"45-54"	"Female"	"F"	23	3944282	0.6
	"Census Region 1: Northeast"	"CENS-R1"	"Certain other intestinal infections (A04,A07-A09)"	"GR113-003"	"2017"	"2017"	"45-54 years"	"45-54"	"Male"	"M"	18	3757897	Unreliable
	"Census Region 1: Northeast"	"CENS-R1"	"Certain other intestinal infections (A04,A07-A09)"	"GR113-003"	"2017"	"2017"	"55-64 years"	"55-64"	"Female"	"F"	67	4009611	1.7
	"Census Region 1: Northeast"	"CENS-R1"	"Certain other intestinal infections (A04,A07-A09)"	"GR113-003"	"2017"	"2017"	"55-64 years"	"55-64"	"Male"	"M"	65	3727307	1.7
	"Census Region 1: Northeast"	"CENS-R1"	"Certain other intestinal infections (A04,A07-A09)"	"GR113-003"	"2017"	"2017"	"65-74 years"	"65-74"	"Female"	"F"	151	2850396	5.3
	"Census Region 1: Northeast"	"CENS-R1"	"Certain other intestinal infections (A04,A07-A09)"	"GR113-003"	"2017"	"2017"	"65-74 years"	"65-74"	"Male"	"M"	117	2462621	4.8
	"Census Region 1: Northeast"	"CENS-R1"	"Certain other intestinal infections (A04,A07-A09)"	"GR113-003"	"2017"	"2017"	"75-84 years"	"75-84"	"Female"	"F"	260	1558813	16.7
	"Census Region 1: Northeast"	"CENS-R1"	"Certain other intestinal infections (A04,A07-A09)"	"GR113-003"	"2017"	"2017"	"75-84 years"	"75-84"	"Male"	"M"	162	1142964	14.2
	"Census Region 1: Northeast"	"CENS-R1"	"Certain other intestinal infections (A04,A07-A09)"	"GR113-003"	"2017"	"2017"	"85+ years"	"85+"	"Female"	"F"	457	899374	50.8
	"Census Region 1: Northeast"	"CENS-R1"	"Certain other intestinal infections (A04,A07-A09)"	"GR113-003"	"2017"	"2017"	"85+ years"	"85+"	"Male"	"M"	234	454529	51.5
	"Census Region 1: Northeast"	"CENS-R1"	"Certain other intestinal infections (A04,A07-A09)"	"GR113-003"	"2018"	"2018"	"< 1 year"	"1"	"Male"	"M"	11	312417	Unreliable
	"Census Region 1: Northeast"	"CENS-R1"	"Certain other intestinal infections (A04,A07-A09)"	"GR113-003"	"2018"	"2018"	"35-44 years"	"35-44"	"Female"	"F"	10	3453393	Unreliable
	"Census Region 1: Northeast"	"CENS-R1"	"Certain other intestinal infections (A04,A07-A09)"	"GR113-003"	"2018"	"2018"	"45-54 years"	"45-54"	"Female"	"F"	24	3814710	0.6
	"Census Region 1: Northeast"	"CENS-R1"	"Certain other intestinal infections (A04,A07-A09)"	"GR113-003"	"2018"	"2018"	"45-54 years"	"45-54"	"Male"	"M"	20	3636060	0.6
	"Census Region 1: Northeast"	"CENS-R1"	"Certain other intestinal infections (A04,A07-A09)"	"GR113-003"	"2018"	"2018"	"55-64 years"	"55-64"	"Female"	"F"	78	4012935	1.9
