"Notes"	"Census Region"	"Census Region Code"	"ICD-10 113 Cause List"	"ICD-10 113 Cause List Code"	"Year"	"Year Code"	"Ten-Year Age Groups"	"Ten-Year Age Groups Code"	"Gender"	"Gender Code"	Deaths	Population	Crude Rate
	"Census Region 1: Northeast"	"CENS-R1"	"Certain other intestinal infections (A04,A07-A09)"	"GR113-003"	"2013"	"2013"	"< 1 year"	"1"	"Female"	"F"	20	312646	6.4
	"Census Region 1: Northeast"	"CENS-R1"	"Certain other intestinal infections (A04,A07-A09)"	"GR113-003"	"2013"	"2013"	"< 1 year"	"1"	"Male"	"M"	23	327763	7.0
	"Census Region 1: Northeast"	"CENS-R1"	"Certain other intestinal infections (A04,A07-A09)"	"GR113-003"	"2013"	"2013"	"45-54 years"	"45-54"	"Female"	"F"	29	4211811	0.7
	"Census Region 1: Northeast"	"CENS-R1"	"Certain other intestinal infections (A04,A07-A09)"	"GR113-003"	"2013"	"2013"	"45-54 years"	"45-54"	"Male"	"M"	33	4018090	0.8
	"Census Region 1: Northeast"	"CENS-R1"	"Certain other intestinal infections (A04,A07-A09)"	"GR113-003"	"2013"	"2013"	"55-64 years"	"55-64"	"Female"	"F"	65	3789996	1.7
	"Census Region 1: Northeast"	"CENS-R1"	"Certain other intestinal infections (A04,A07-A09)"	"GR113-003"	"2013"	"2013"	"55-64 years"	"55-64"	"Male"	"M"	73	3513148	2.1
	"Census Region 1: Northeast"	"CENS-R1"	"Certain other intestinal infections (A04,A07-A09)"	"GR113-003"	"2013"	"2013"	"65-74 years"	"65-74"	"Female"	"F"	197	2470911	8.0
	"Census Region 1: Northeast"	"CENS-R1"	"Certain other intestinal infections (A04,A07-A09)"	"GR113-003"	"2013"	"2013"	"65-74 years"	"65-74"	"Male"	"M"	110	2113057	5.2
	"Census Region 1: Northeast"	"CENS-R1"	"Certain other intestinal infections (A04,A07-A09)"	"GR113-003"	"2013"	"2013"	"75-84 years"	"75-84"	"Female"	"F"	420	1501941	28.0
	"Census Region 1: Northeast"	"CENS-R1"	"Certain other intestinal infections (A04,A07-A09)"	"GR113-003"	"2013"	"2013"	"75-84 years"	"75-84"	"Male"	"M"	297	1067932	27.8
	"Census Region 1: Northeast"	"CENS-R1"	"Certain other intestinal infections (A04,A07-A09)"	"GR113-003"	"2013"	"2013"	"85+ years"	"85+"	"Female"	"F"	678	871758	77.8
	"Census Region 1: Northeast"	"CENS-R1"	"Certain other intestinal infections (A04,A07-A09)"	"GR113-003"	"2013"	"2013"	"85+ years"	"85+"	"Male"	"M"	338	420222	80.4
	"Census Region 1: Northeast"	"CENS-R1"	"Certain other intestinal infections (A04,A07-A09)"	"GR113-003"	"2014"	"2014"	"< 1 year"	"1"	"Female"	"F"	16	312023	Unreliable
	"Census Region 1: Northeast"	"CENS-R1"	"Certain other intestinal infections (A04,A07-A09)"	"GR113-003"	"2014"	"2014"	"< 1 year"	"1"	"Male"	"M"	20	326068	6.1
	"Census Region 1: Northeast"	"CENS-R1"	"Certain other intestinal infections (A04,A07-A09)"	"GR113-003"	"2014"	"2014"	"45-54 years"	"45-54"	"Female"	"F"	29	4155773	0.7
	"Census Region 1: Northeast"	"CENS-R1"	"Certain other intestinal infections (A04,A07-A09)"	"GR113-003"	"2014"	"2014"	"45-54 years"	"45-54"	"Male"	"M"	30	3965634	0.8
	"Census Region 1: Northeast"	"CENS-R1"	"Certain other intestinal infections (A04,A07-A09)"	"GR113-003"	"2014"	"2014"	"55-64 years"	"55-64"	"Female"	"F"	58	3857118	1.5
	"Census Region 1: Northeast"	"CENS-R1"	"Certain other intestinal infections (A04,A07-A09)"	"GR113-003"	"2014"	"2014"	"55-64 years"	"55-64"	"Male"	"M"	68	3579635	1.9
	"Census Region 1: Northeast"	"CENS-R1"	"Certain other intestinal infections (A04,A07-A09)"	"GR113-003"	"2014"	"2014"	"65-74 years"	"65-74"	"Female"	"F"	167	2566600	6.5
	"Census Region 1: Northeast"	"CENS-R1"	"Certain other intestinal infections (A04,A07-A09)"	"GR113-003"	"2014"	"2014"	"65-74 years"	"65-74"	"Male"	"M"	144	2198979	6.5
	"Census Region 1: Northeast"	"CENS-R1"	"Certain other intestinal infections (A04,A07-A09)"	"GR113-003"	"2014"	"2014"	"75-84 years"	"75-84"	"Female"	"F"	375	1499107	25.0
	"Census Region 1: Northeast"	"CENS-R1"	"Certain other intestinal infections (A04,A07-A09)"	"GR113-003"	"2014"	"2014"	"75-84 years"	"75-84"	"Male"	"M"	234	1076146	21.7
	"Census Region 1: Northeast"	"CENS-R1"	"Certain other intestinal infections (A04,A07-A09)"	"GR113-003"	"2014"	"2014"	"85+ years"	"85+"	"Female"	"F"	555	876012	63.4
	"Census Region 1: Northeast"	"CENS-R1"	"Certain other intestinal infections (A04,A07-A09)"	"GR113-003"	"2014"	"2014"	"85+ years"	"85+"	"Male"	"M"	276	428350	64.4
	"Census Region 1: Northeast"	"CENS-R1"	"#Tuberculosis (A16-A19)"	"GR113-004"	"2013"	"2013"	"85+ years"	"85+"	"Male"	"M"	11	420222	Unreliable
	"Census Region 1: Northeast"	"CENS-R1"	"#Tuberculosis (A16-A19)"	"GR113-004"	"2014"	"2014"	"55-64 years"	"55-64"	"Male"	"M"	13	3579635	Unreliable
	"Census Region 1: Northeast"	"CENS-R1"	"#Tuberculosis (A16-A19)"	"GR113-004"	"2014"	"2014"	"75-84 years"	"75-84"	"Female"	"F"	12	1499107	Unreliable
	"Census Region 1: Northeast"	"CENS-R1"	"#Tuberculosis (A16-A19)"	"GR113-004"	"2014"	"2014"	"75-84 years"	"75-84"	"Male"	"M"	12	1076146	Unreliable
	"Census Region 1: Northeast"	"CENS-R1"	"#Tuberculosis (A16-A19)"	"GR113-004"	"2014"	"2014"	"85+ years"	"85+"	"Female"	"F"	11	876012	Unreliable
	"Census Region 1: Northeast"	"CENS-R1"	"#Tuberculosis (A16-A19)"	"GR113-004"	"2014"	"2014"	"85+ years"	"85+"	"Male"	"M"	16	428350	Unreliable
	"Census Region 1: Northeast"	"CENS-R1"	"Respiratory tuberculosis (A16)"	"GR113-005"	"2013"	"2013"	"85+ years"	"85+"	"Male"	"M"	11	420222	Unreliable
	"Census Region 1: Northeast"	"CENS-R1"	"Respiratory tuberculosis (A16)"	"GR113-005"	"2014"	"2014"	"85+ years"	"85+"	"Male"	"M"	13	428350	Unreliable
	"Census Region 1: Northeast"	"CENS-R1"	"#Septicemia (A40-A41)"	"GR113-010"	"2013"	"2013"	"15-24 years"	"15-24"	"Male"	"M"	13	3873196	Unreliable
	"Census Region 1: Northeast"	"CENS-R1"	"#Septicemia (A40-A41)"	"GR113-010"	"2013"	"2013"	"25-34 years"	"25-34"	"Female"	"F"	34	3706938	0.9
	"Census Region 1: Northeast"	"CENS-R1"	"#Septicemia (A40-A41)"	"GR113-010"	"2013"	"2013"	"25-34 years"	"25-34"	"Male"	"M"	24	3710638	0.6
	"Census Region 1: Northeast"	"CENS-R1"	"#Septicemia (A40-A41)"	"GR113-010"	"2013"	"2013"	"35-44 years"	"35-44"	"Female"	"F"	51	3570783	1.4
	"Census Region 1: Northeast"	"CENS-R1"	"#Septicemia (A40-A41)"	"GR113-010"	"2013"	"2013"	"35-44 years"	"35-44"	"Male"	"M"	64	3469969	1.8
	"Census Region 1: Northeast"	"CENS-R1"	"#Septicemia (A40-A41)"	"GR113-010"	"2013"	"2013"	"45-54 years"	"45-54"	"Female"	"F"	206	4211811	4.9
	"Census Region 1: Northeast"	"CENS-R1"	"#Septicemia (A40-A41)"	"GR113-010"	"2013"	"2013"	"45-54 years"	"45-54"	"Male"	"M"	236	4018090	5.9
	"Census Region 1: Northeast"	"CENS-R1"	"#Septicemia (A40-A41)"	"GR113-010"	"2013"	"2013"	"55-64 years"	"55-64"	"Female"	"F"	426	3789996	11.2
	"Census Region 1: Northeast"	"CENS-R1"	"#Septicemia (A40-A41)"	"GR113-010"	"2013"	"2013"	"55-64 years"	"55-64"	"Male"	"M"	499	3513148	14.2
	"Census Region 1: Northeast"	"CENS-R1"	"#Septicemia (A40-A41)"	"GR113-010"	"2013"	"2013"	"65-74 years"	"65-74"	"Female"	"F"	715	2470911	28.9
	"Census Region 1: Northeast"	"CENS-R1"	"#Septicemia (A40-A41)"	"GR113-010"	"2013"	"2013"	"65-74 years"	"65-74"	"Male"	"M"	810	2113057	38.3
	"Census Region 1: Northeast"	"CENS-R1"	"#Septicemia (A40-A41)"	"GR113-010"	"2013"	"2013"	"75-84 years"	"75-84"	"Female"	"F"	1188	1501941	79.1
	"Census Region 1: Northeast"	"CENS-R1"	"#Septicemia (A40-A41)"	"GR113-010"	"2013"	"2013"	"75-84 years"	"75-84"	"Male"	"M"	1102	1067932	103.2
	"Census Region 1: Northeast"	"CENS-R1"	"#Septicemia (A40-A41)"	"GR113-010"	"2013"	"2013"	"85+ years"	"85+"	"Female"	"F"	1775	871758	203.6
	"Census Region 1: Northeast"	"CENS-R1"	"#Septicemia (A40-A41)"	"GR113-010"	"2013"	"2013"	"85+ years"	"85+"	"Male"	"M"	1046	420222	248.9
	"Census Region 1: Northeast"	"CENS-R1"	"#Septicemia (A40-A41)"	"GR113-010"	"2014"	"2014"	"< 1 year"	"1"	"Male"	"M"	19	326068	Unreliable
	"Census Region 1: Northeast"	"CENS-R1"	"#Septicemia (A40-A41)"	"GR113-010"	"2014"	"2014"	"25-34 years"	"25-34"	"Female"	"F"	25	3754674	0.7
	"Census Region 1: Northeast"	"CENS-R1"	"#Septicemia (A40-A41)"	"GR113-010"	"2014"	"2014"	"25-34 years"	"25-34"	"Male"	"M"	32	3770291	0.8
	"Census Region 1: Northeast"	"CENS-R1"	"#Septicemia (A40-A41)"	"GR113-010"	"2014"	"2014"	"35-44 years"	"35-44"	"Female"	"F"	67	3542518	1.9
	"Census Region 1: Northeast"	"CENS-R1"	"#Septicemia (A40-A41)"	"GR113-010"	"2014"	"2014"	"35-44 years"	"35-44"	"Male"	"M"	58	3439790	1.7
	"Census Region 1: Northeast"	"CENS-R1"	"#Septicemia (A40-A41)"	"GR113-010"	"2014"	"2014"	"45-54 years"	"45-54"	"Female"	"F"	178	4155773	4.3
	"Census Region 1: Northeast"	"CENS-R1"	"#Septicemia (A40-A41)"	"GR113-010"	"2014"	"2014"	"45-54 years"	"45-54"	"Male"	"M"	219	3965634	5.5
	"Census Region 1: Northeast"	"CENS-R1"	"#Septicemia (A40-A41)"	"GR113-010"	"2014"	"2014"	"55-64 years"	"55-64"	"Female"	"F"	424	3857118	11.0
