"Notes"	"Census Region"	"Census Region Code"	"ICD-10 113 Cause List"	"ICD-10 113 Cause List Code"	"Year"	"Year Code"	"Ten-Year Age Groups"	"Ten-Year Age Groups Code"	"Gender"	"Gender Code"	Deaths	Population	Crude Rate
	"Census Region 1: Northeast"	"CENS-R1"	"Certain other intestinal infections (A04,A07-A09)"	"GR113-003"	"2005"	"2005"	"45-54 years"	"45-54"	"Male"	"M"	16	3959056	Unreliable
	"Census Region 1: Northeast"	"CENS-R1"	"Certain other intestinal infections (A04,A07-A09)"	"GR113-003"	"2005"	"2005"	"55-64 years"	"55-64"	"Female"	"F"	23	3070908	0.7
	"Census Region 1: Northeast"	"CENS-R1"	"Certain other intestinal infections (A04,A07-A09)"	"GR113-003"	"2005"	"2005"	"55-64 years"	"55-64"	"Male"	"M"	32	2796568	1.1
	"Census Region 1: Northeast"	"CENS-R1"	"Certain other intestinal infections (A04,A07-A09)"	"GR113-003"	"2005"	"2005"	"65-74 years"	"65-74"	"Female"	"F"	121	1988853	6.1
	"Census Region 1: Northeast"	"CENS-R1"	"Certain other intestinal infections (A04,A07-A09)"	"GR113-003"	"2005"	"2005"	"65-74 years"	"65-74"	"Male"	"M"	88	1634541	5.4
	"Census Region 1: Northeast"	"CENS-R1"	"Certain other intestinal infections (A04,A07-A09)"	"GR113-003"	"2005"	"2005"	"75-84 years"	"75-84"	"Female"	"F"	334	1654802	20.2
	"Census Region 1: Northeast"	"CENS-R1"	"Certain other intestinal infections (A04,A07-A09)"	"GR113-003"	"2005"	"2005"	"75-84 years"	"75-84"	"Male"	"M"	255	1084471	23.5
	"Census Region 1: Northeast"	"CENS-R1"	"Certain other intestinal infections (A04,A07-A09)"	"GR113-003"	"2005"	"2005"	"85+ years"	"85+"	"Female"	"F"	485	734381	66.0
	"Census Region 1: Northeast"	"CENS-R1"	"Certain other intestinal infections (A04,A07-A09)"	"GR113-003"	"2005"	"2005"	"85+ years"	"85+"	"Male"	"M"	217	308709	70.3
	"Census Region 1: Northeast"	"CENS-R1"	"Certain other intestinal infections (A04,A07-A09)"	"GR113-003"	"2006"	"2006"	"45-54 years"	"45-54"	"Female"	"F"	19	4212381	Unreliable
	"Census Region 1: Northeast"	"CENS-R1"	"Certain other intestinal infections (A04,A07-A09)"	"GR113-003"	"2006"	"2006"	"45-54 years"	"45-54"	"Male"	"M"	13	4018117	Unreliable
	"Census Region 1: Northeast"	"CENS-R1"	"Certain other intestinal infections (A04,A07-A09)"	"GR113-003"	"2006"	"2006"	"55-64 years"	"55-64"	"Female"	"F"	43	3173369	1.4
	"Census Region 1: Northeast"	"CENS-R1"	"Certain other intestinal infections (A04,A07-A09)"	"GR113-003"	"2006"	"2006"	"55-64 years"	"55-64"	"Male"	"M"	50	2897402	1.7
	"Census Region 1: Northeast"	"CENS-R1"	"Certain other intestinal infections (A04,A07-A09)"	"GR113-003"	"2006"	"2006"	"65-74 years"	"65-74"	"Female"	"F"	117	1986662	5.9
	"Census Region 1: Northeast"	"CENS-R1"	"Certain other intestinal infections (A04,A07-A09)"	"GR113-003"	"2006"	"2006"	"65-74 years"	"65-74"	"Male"	"M"	114	1640200	7.0
	"Census Region 1: Northeast"	"CENS-R1"	"Certain other intestinal infections (A04,A07-A09)"	"GR113-003"	"2006"	"2006"	"75-84 years"	"75-84"	"Female"	"F"	420	1635957	25.7
	"Census Region 1: Northeast"	"CENS-R1"	"Certain other intestinal infections (A04,A07-A09)"	"GR113-003"	"2006"	"2006"	"75-84 years"	"75-84"	"Male"	"M"	260	1082397	24.0
	"Census Region 1: Northeast"	"CENS-R1"	"Certain other intestinal infections (A04,A07-A09)"	"GR113-003"	"2006"	"2006"	"85+ years"	"85+"	"Female"	"F"	528	754794	70.0
	"Census Region 1: Northeast"	"CENS-R1"	"Certain other intestinal infections (A04,A07-A09)"	"GR113-003"	"2006"	"2006"	"85+ years"	"85+"	"Male"	"M"	238	324573	73.3
	"Census Region 1: Northeast"	"CENS-R1"	"#Tuberculosis (A16-A19)"	"GR113-004"	"2005"	"2005"	"55-64 years"	"55-64"	"Male"	"M"	10	2796568	Unreliable
	"Census Region 1: Northeast"	"CENS-R1"	"#Tuberculosis (A16-A19)"	"GR113-004"	"2005"	"2005"	"75-84 years"	"75-84"	"Female"	"F"	11	1654802	Unreliable
	"Census Region 1: Northeast"	"CENS-R1"	"#Tuberculosis (A16-A19)"	"GR113-004"	"2005"	"2005"	"75-84 years"	"75-84"	"Male"	"M"	11	1084471	Unreliable
	"Census Region 1: Northeast"	"CENS-R1"	"#Tuberculosis (A16-A19)"	"GR113-004"	"2005"	"2005"	"85+ years"	"85+"	"Female"	"F"	14	734381	Unreliable
	"Census Region 1: Northeast"	"CENS-R1"	"#Tuberculosis (A16-A19)"	"GR113-004"	"2005"	"2005"	"85+ years"	"85+"	"Male"	"M"	10	308709	Unreliable
	"Census Region 1: Northeast"	"CENS-R1"	"#Tuberculosis (A16-A19)"	"GR113-004"	"2006"	"2006"	"55-64 years"	"55-64"	"Male"	"M"	10	2897402	Unreliable
	"Census Region 1: Northeast"	"CENS-R1"	"#Tuberculosis (A16-A19)"	"GR113-004"	"2006"	"2006"	"75-84 years"	"75-84"	"Female"	"F"	10	1635957	Unreliable
	"Census Region 1: Northeast"	"CENS-R1"	"#Tuberculosis (A16-A19)"	"GR113-004"	"2006"	"2006"	"75-84 years"	"75-84"	"Male"	"M"	23	1082397	2.1
	"Census Region 1: Northeast"	"CENS-R1"	"#Tuberculosis (A16-A19)"	"GR113-004"	"2006"	"2006"	"85+ years"	"85+"	"Female"	"F"	10	754794	Unreliable
	"Census Region 1: Northeast"	"CENS-R1"	"#Tuberculosis (A16-A19)"	"GR113-004"	"2006"	"2006"	"85+ years"	"85+"	"Male"	"M"	12	324573	Unreliable
	"Census Region 1: Northeast"	"CENS-R1"	"Respiratory tuberculosis (A16)"	"GR113-005"	"2005"	"2005"	"55-64 years"	"55-64"	"Male"	"M"	10	2796568	Unreliable
	"Census Region 1: Northeast"	"CENS-R1"	"Respiratory tuberculosis (A16)"	"GR113-005"	"2005"	"2005"	"75-84 years"	"75-84"	"Female"	"F"	11	1654802	Unreliable
	"Census Region 1: Northeast"	"CENS-R1"	"Respiratory tuberculosis (A16)"	"GR113-005"	"2005"	"2005"	"75-84 years"	"75-84"	"Male"	"M"	10	1084471	Unreliable
	"Census Region 1: Northeast"	"CENS-R1"	"Respiratory tuberculosis (A16)"	"GR113-005"	"2005"	"2005"	"85+ years"	"85+"	"Female"	"F"	11	734381	Unreliable
	"Census Region 1: Northeast"	"CENS-R1"	"Respiratory tuberculosis (A16)"	"GR113-005"	"2006"	"2006"	"75-84 years"	"75-84"	"Male"	"M"	19	1082397	Unreliable
	"Census Region 1: Northeast"	"CENS-R1"	"Respiratory tuberculosis (A16)"	"GR113-005"	"2006"	"2006"	"85+ years"	"85+"	"Male"	"M"	11	324573	Unreliable
	"Census Region 1: Northeast"	"CENS-R1"	"#Septicemia (A40-A41)"	"GR113-010"	"2005"	"2005"	"< 1 year"	"1"	"Female"	"F"	22	317926	6.9
	"Census Region 1: Northeast"	"CENS-R1"	"#Septicemia (A40-A41)"	"GR113-010"	"2005"	"2005"	"< 1 year"	"1"	"Male"	"M"	27	332511	8.1
	"Census Region 1: Northeast"	"CENS-R1"	"#Septicemia (A40-A41)"	"GR113-010"	"2005"	"2005"	"1-4 years"	"1-4"	"Male"	"M"	13	1352140	Unreliable
	"Census Region 1: Northeast"	"CENS-R1"	"#Septicemia (A40-A41)"	"GR113-010"	"2005"	"2005"	"15-24 years"	"15-24"	"Female"	"F"	13	3654777	Unreliable
	"Census Region 1: Northeast"	"CENS-R1"	"#Septicemia (A40-A41)"	"GR113-010"	"2005"	"2005"	"15-24 years"	"15-24"	"Male"	"M"	14	3804375	Unreliable
	"Census Region 1: Northeast"	"CENS-R1"	"#Septicemia (A40-A41)"	"GR113-010"	"2005"	"2005"	"25-34 years"	"25-34"	"Female"	"F"	35	3481943	1.0
