"Notes"	"Census Region"	"Census Region Code"	"ICD-10 113 Cause List"	"ICD-10 113 Cause List Code"	"Year"	"Year Code"	"Ten-Year Age Groups"	"Ten-Year Age Groups Code"	"Gender"	"Gender Code"	Deaths	Population	Crude Rate
	"Census Region 1: Northeast"	"CENS-R1"	"Certain other intestinal infections (A04,A07-A09)"	"GR113-003"	"2011"	"2011"	"< 1 year"	"1"	"Female"	"F"	25	314207	8.0
	"Census Region 1: Northeast"	"CENS-R1"	"Certain other intestinal infections (A04,A07-A09)"	"GR113-003"	"2011"	"2011"	"< 1 year"	"1"	"Male"	"M"	32	328952	9.7
	"Census Region 1: Northeast"	"CENS-R1"	"Certain other intestinal infections (A04,A07-A09)"	"GR113-003"	"2011"	"2011"	"45-54 years"	"45-54"	"Female"	"F"	26	4316393	0.6
	"Census Region 1: Northeast"	"CENS-R1"	"Certain other intestinal infections (A04,A07-A09)"	"GR113-003"	"2011"	"2011"	"45-54 years"	"45-54"	"Male"	"M"	30	4118376	0.7
	"Census Region 1: Northeast"	"CENS-R1"	"Certain other intestinal infections (A04,A07-A09)"	"GR113-003"	"2011"	"2011"	"55-64 years"	"55-64"	"Female"	"F"	78	3683065	2.1
	"Census Region 1: Northeast"	"CENS-R1"	"Certain other intestinal infections (A04,A07-A09)"	"GR113-003"	"2011"	"2011"	"55-64 years"	"55-64"	"Male"	"M"	81	3403214	2.4
	"Census Region 1: Northeast"	"CENS-R1"	"Certain other intestinal infections (A04,A07-A09)"	"GR113-003"	"2011"	"2011"	"65-74 years"	"65-74"	"Female"	"F"	164	2229610	7.4
	"Census Region 1: Northeast"	"CENS-R1"	"Certain other intestinal infections (A04,A07-A09)"	"GR113-003"	"2011"	"2011"	"65-74 years"	"65-74"	"Male"	"M"	155	1881621	8.2
	"Census Region 1: Northeast"	"CENS-R1"	"Certain other intestinal infections (A04,A07-A09)"	"GR113-003"	"2011"	"2011"	"75-84 years"	"75-84"	"Female"	"F"	479	1525575	31.4
	"Census Region 1: Northeast"	"CENS-R1"	"Certain other intestinal infections (A04,A07-A09)"	"GR113-003"	"2011"	"2011"	"75-84 years"	"75-84"	"Male"	"M"	331	1063861	31.1
	"Census Region 1: Northeast"	"CENS-R1"	"Certain other intestinal infections (A04,A07-A09)"	"GR113-003"	"2011"	"2011"	"85+ years"	"85+"	"Female"	"F"	819	846082	96.8
	"Census Region 1: Northeast"	"CENS-R1"	"Certain other intestinal infections (A04,A07-A09)"	"GR113-003"	"2011"	"2011"	"85+ years"	"85+"	"Male"	"M"	396	394077	100.5
	"Census Region 1: Northeast"	"CENS-R1"	"Certain other intestinal infections (A04,A07-A09)"	"GR113-003"	"2012"	"2012"	"< 1 year"	"1"	"Female"	"F"	22	308475	7.1
	"Census Region 1: Northeast"	"CENS-R1"	"Certain other intestinal infections (A04,A07-A09)"	"GR113-003"	"2012"	"2012"	"< 1 year"	"1"	"Male"	"M"	24	323135	7.4
	"Census Region 1: Northeast"	"CENS-R1"	"Certain other intestinal infections (A04,A07-A09)"	"GR113-003"	"2012"	"2012"	"45-54 years"	"45-54"	"Female"	"F"	27	4270197	0.6
	"Census Region 1: Northeast"	"CENS-R1"	"Certain other intestinal infections (A04,A07-A09)"	"GR113-003"	"2012"	"2012"	"45-54 years"	"45-54"	"Male"	"M"	28	4074460	0.7
	"Census Region 1: Northeast"	"CENS-R1"	"Certain other intestinal infections (A04,A07-A09)"	"GR113-003"	"2012"	"2012"	"55-64 years"	"55-64"	"Female"	"F"	62	3724015	1.7
	"Census Region 1: Northeast"	"CENS-R1"	"Certain other intestinal infections (A04,A07-A09)"	"GR113-003"	"2012"	"2012"	"55-64 years"	"55-64"	"Male"	"M"	85	3444402	2.5
	"Census Region 1: Northeast"	"CENS-R1"	"Certain other intestinal infections (A04,A07-A09)"	"GR113-003"	"2012"	"2012"	"65-74 years"	"65-74"	"Female"	"F"	184	2366943	7.8
	"Census Region 1: Northeast"	"CENS-R1"	"Certain other intestinal infections (A04,A07-A09)"	"GR113-003"	"2012"	"2012"	"65-74 years"	"65-74"	"Male"	"M"	144	2011542	7.2
	"Census Region 1: Northeast"	"CENS-R1"	"Certain other intestinal infections (A04,A07-A09)"	"GR113-003"	"2012"	"2012"	"75-84 years"	"75-84"	"Female"	"F"	410	1512261	27.1
	"Census Region 1: Northeast"	"CENS-R1"	"Certain other intestinal infections (A04,A07-A09)"	"GR113-003"	"2012"	"2012"	"75-84 years"	"75-84"	"Male"	"M"	292	1063910	27.4
	"Census Region 1: Northeast"	"CENS-R1"	"Certain other intestinal infections (A04,A07-A09)"	"GR113-003"	"2012"	"2012"	"85+ years"	"85+"	"Female"	"F"	731	858625	85.1
	"Census Region 1: Northeast"	"CENS-R1"	"Certain other intestinal infections (A04,A07-A09)"	"GR113-003"	"2012"	"2012"	"85+ years"	"85+"	"Male"	"M"	312	406165	76.8
	"Census Region 1: Northeast"	"CENS-R1"	"#Tuberculosis (A16-A19)"	"GR113-004"	"2011"	"2011"	"55-64 years"	"55-64"	"Male"	"M"	11	3403214	Unreliable
	"Census Region 1: Northeast"	"CENS-R1"	"#Tuberculosis (A16-A19)"	"GR113-004"	"2011"	"2011"	"65-74 years"	"65-74"	"Male"	"M"	11	1881621	Unreliable
	"Census Region 1: Northeast"	"CENS-R1"	"#Tuberculosis (A16-A19)"	"GR113-004"	"2011"	"2011"	"75-84 years"	"75-84"	"Female"	"F"	12	1525575	Unreliable
	"Census Region 1: Northeast"	"CENS-R1"	"#Tuberculosis (A16-A19)"	"GR113-004"	"2011"	"2011"	"75-84 years"	"75-84"	"Male"	"M"	10	1063861	Unreliable
	"Census Region 1: Northeast"	"CENS-R1"	"#Tuberculosis (A16-A19)"	"GR113-004"	"2011"	"2011"	"85+ years"	"85+"	"Female"	"F"	11	846082	Unreliable
	"Census Region 1: Northeast"	"CENS-R1"	"#Tuberculosis (A16-A19)"	"GR113-004"	"2011"	"2011"	"85+ years"	"85+"	"Male"	"M"	12	394077	Unreliable
	"Census Region 1: Northeast"	"CENS-R1"	"#Tuberculosis (A16-A19)"	"GR113-004"	"2012"	"2012"	"75-84 years"	"75-84"	"Male"	"M"	11	1063910	Unreliable
	"Census Region 1: Northeast"	"CENS-R1"	"#Tuberculosis (A16-A19)"	"GR113-004"	"2012"	"2012"	"85+ years"	"85+"	"Female"	"F"	12	858625	Unreliable
	"Census Region 1: Northeast"	"CENS-R1"	"#Tuberculosis (A16-A19)"	"GR113-004"	"2012"	"2012"	"85+ years"	"85+"	"Male"	"M"	10	406165	Unreliable
	"Census Region 1: Northeast"	"CENS-R1"	"Respiratory tuberculosis (A16)"	"GR113-005"	"2011"	"2011"	"75-84 years"	"75-84"	"Male"	"M"	10	1063861	Unreliable
	"Census Region 1: Northeast"	"CENS-R1"	"Respiratory tuberculosis (A16)"	"GR113-005"	"2011"	"2011"	"85+ years"	"85+"	"Male"	"M"	10	394077	Unreliable
	"Census Region 1: Northeast"	"CENS-R1"	"#Septicemia (A40-A41)"	"GR113-010"	"2011"	"2011"	"15-24 years"	"15-24"	"Male"	"M"	11	3911652	Unreliable
	"Census Region 1: Northeast"	"CENS-R1"	"#Septicemia (A40-A41)"	"GR113-010"	"2011"	"2011"	"25-34 years"	"25-34"	"Female"	"F"	24	3601821	0.7
	"Census Region 1: Northeast"	"CENS-R1"	"#Septicemia (A40-A41)"	"GR113-010"	"2011"	"2011"	"25-34 years"	"25-34"	"Male"	"M"	27	3571610	0.8
	"Census Region 1: Northeast"	"CENS-R1"	"#Septicemia (A40-A41)"	"GR113-010"	"2011"	"2011"	"35-44 years"	"35-44"	"Female"	"F"	56	3675513	1.5
	"Census Region 1: Northeast"	"CENS-R1"	"#Septicemia (A40-A41)"	"GR113-010"	"2011"	"2011"	"35-44 years"	"35-44"	"Male"	"M"	71	3553299	2.0
	"Census Region 1: Northeast"	"CENS-R1"	"#Septicemia (A40-A41)"	"GR113-010"	"2011"	"2011"	"45-54 years"	"45-54"	"Female"	"F"	190	4316393	4.4
	"Census Region 1: Northeast"	"CENS-R1"	"#Septicemia (A40-A41)"	"GR113-010"	"2011"	"2011"	"45-54 years"	"45-54"	"Male"	"M"	234	4118376	5.7
	"Census Region 1: Northeast"	"CENS-R1"	"#Septicemia (A40-A41)"	"GR113-010"	"2011"	"2011"	"55-64 years"	"55-64"	"Female"	"F"	429	3683065	11.6
	"Census Region 1: Northeast"	"CENS-R1"	"#Septicemia (A40-A41)"	"GR113-010"	"2011"	"2011"	"55-64 years"	"55-64"	"Male"	"M"	515	3403214	15.1
	"Census Region 1: Northeast"	"CENS-R1"	"#Septicemia (A40-A41)"	"GR113-010"	"2011"	"2011"	"65-74 years"	"65-74"	"Female"	"F"	639	2229610	28.7
	"Census Region 1: Northeast"	"CENS-R1"	"#Septicemia (A40-A41)"	"GR113-010"	"2011"	"2011"	"65-74 years"	"65-74"	"Male"	"M"	710	1881621	37.7
	"Census Region 1: Northeast"	"CENS-R1"	"#Septicemia (A40-A41)"	"GR113-010"	"2011"	"2011"	"75-84 years"	"75-84"	"Female"	"F"	1188	1525575	77.9
	"Census Region 1: Northeast"	"CENS-R1"	"#Septicemia (A40-A41)"	"GR113-010"	"2011"	"2011"	"75-84 years"	"75-84"	"Male"	"M"	1134	1063861	106.6
	"Census Region 1: Northeast"	"CENS-R1"	"#Septicemia (A40-A41)"	"GR113-010"	"2011"	"2011"	"85+ years"	"85+"	"Female"	"F"	1721	846082	203.4
	"Census Region 1: Northeast"	"CENS-R1"	"#Septicemia (A40-A41)"	"GR113-010"	"2011"	"2011"	"85+ years"	"85+"	"Male"	"M"	1008	394077	255.8
	"Census Region 1: Northeast"	"CENS-R1"	"#Septicemia (A40-A41)"	"GR113-010"	"2012"	"2012"	"< 1 year"	"1"	"Male"	"M"	19	323135	Unreliable
	"Census Region 1: Northeast"	"CENS-R1"	"#Septicemia (A40-A41)"	"GR113-010"	"2012"	"2012"	"25-34 years"	"25-34"	"Female"	"F"	18	3654985	Unreliable
	"Census Region 1: Northeast"	"CENS-R1"	"#Septicemia (A40-A41)"	"GR113-010"	"2012"	"2012"	"25-34 years"	"25-34"	"Male"	"M"	34	3638462	0.9
	"Census Region 1: Northeast"	"CENS-R1"	"#Septicemia (A40-A41)"	"GR113-010"	"2012"	"2012"	"35-44 years"	"35-44"	"Female"	"F"	48	3622836	1.3
	"Census Region 1: Northeast"	"CENS-R1"	"#Septicemia (A40-A41)"	"GR113-010"	"2012"	"2012"	"35-44 years"	"35-44"	"Male"	"M"	66	3509724	1.9
	"Census Region 1: Northeast"	"CENS-R1"	"#Septicemia (A40-A41)"	"GR113-010"	"2012"	"2012"	"45-54 years"	"45-54"	"Female"	"F"	164	4270197	3.8
	"Census Region 1: Northeast"	"CENS-R1"	"#Septicemia (A40-A41)"	"GR113-010"	"2012"	"2012"	"45-54 years"	"45-54"	"Male"	"M"	221	4074460	5.4
	"Census Region 1: Northeast"	"CENS-R1"	"#Septicemia (A40-A41)"	"GR113-010"	"2012"	"2012"	"55-64 years"	"55-64"	"Female"	"F"	382	3724015	10.3
	"Census Region 1: Northeast"	"CENS-R1"	"#Septicemia (A40-A41)"	"GR113-010"	"2012"	"2012"	"55-64 years"	"55-64"	"Male"	"M"	507	3444402	14.7
	"Census Region 1: Northeast"	"CENS-R1"	"#Septicemia (A40-A41)"	"GR113-010"	"2012"	"2012"	"65-74 years"	"65-74"	"Female"	"F"	659	2366943	27.8
	"Census Region 1: Northeast"	"CENS-R1"	"#Septicemia (A40-A41)"	"GR113-010"	"2012"	"2012"	"65-74 years"	"65-74"	"Male"	"M"	707	2011542	35.1
	"Census Region 1: Northeast"	"CENS-R1"	"#Septicemia (A40-A41)"	"GR113-010"	"2012"	"2012"	"75-84 years"	"75-84"	"Female"	"F"	1126	1512261	74.5
	"Census Region 1: Northeast"	"CENS-R1"	"#Septicemia (A40-A41)"	"GR113-010"	"2012"	"2012"	"75-84 years"	"75-84"	"Male"	"M"	1076	1063910	101.1
	"Census Region 1: Northeast"	"CENS-R1"	"#Septicemia (A40-A41)"	"GR113-010"	"2012"	"2012"	"85+ years"	"85+"	"Female"	"F"	1682	858625	195.9
	"Census Region 1: Northeast"	"CENS-R1"	"#Septicemia (A40-A41)"	"GR113-010"	"2012"	"2012"	"85+ years"	"85+"	"Male"	"M"	1027	406165	252.9
	"Census Region 1: Northeast"	"CENS-R1"	"#Viral hepatitis (B15-B19)"	"GR113-015"	"2011"	"2011"	"35-44 years"	"35-44"	"Female"	"F"	19	3675513	Unreliable
	"Census Region 1: Northeast"	"CENS-R1"	"#Viral hepatitis (B15-B19)"	"GR113-015"	"2011"	"2011"	"35-44 years"	"35-44"	"Male"	"M"	32	3553299	0.9
	"Census Region 1: Northeast"	"CENS-R1"	"#Viral hepatitis (B15-B19)"	"GR113-015"	"2011"	"2011"	"45-54 years"	"45-54"	"Female"	"F"	85	4316393	2.0
	"Census Region 1: Northeast"	"CENS-R1"	"#Viral hepatitis (B15-B19)"	"GR113-015"	"2011"	"2011"	"45-54 years"	"45-54"	"Male"	"M"	231	4118376	5.6
	"Census Region 1: Northeast"	"CENS-R1"	"#Viral hepatitis (B15-B19)"	"GR113-015"	"2011"	"2011"	"55-64 years"	"55-64"	"Female"	"F"	148	3683065	4.0
